Genot,Temp,Family,meangr
X10914,37.5,O,3.82083333333333
X10914,40,O,2.52044250436502
X10915,20,O,2.34057971014493
X10915,25,O,3.30036036036036
X10915,30,O,3.78329678362573
X10915,35,O,4.07788011695907
X10915,37.5,O,3.775
X10915,40,O,3.16917270531401
X10916,20,O,2.37794384057971
X10916,25,O,3.23594782282282
X10916,30,O,4.23976608187134
X10916,35,O,5.00625
X10916,37.5,O,4.34582602339181
X10916,40,O,3.24736772098185
X10917,20,O,1.64812218468468
X10917,25,O,1.17672672672673
X10917,30,O,NA
X10917,35,O,4.05111111111111
X10917,37.5,O,3.13894927536232
X10917,40,O,1.94819011946729
X10918,20,O,2.21942934782609
X10918,25,O,3.20324142373815
X10918,30,O,3.94615497076023
X10918,35,O,4.48810164985001
X10918,37.5,O,4.21034356725146
X10918,40,O,2.63634620903803
X10919,20,O,2.22169384057971
X10919,25,O,3.09079775498871
X10919,30,O,3.8825
X10919,35,O,4.15002382120803
X10919,37.5,O,3.82055555555556
X10919,40,O,2.42129938463007
X10920,20,O,2.24320652173913
X10920,25,O,3.078347570444
X10920,30,O,3.71611111111111
X10920,35,O,3.94891656755603
X10920,37.5,O,3.75777777777778
X10920,40,O,2.44122848149117
X10921,20,O,2.22644927536232
X10921,25,O,2.99230607818855
X10921,30,O,3.54083333333333
X10921,35,O,3.53557681117254
X10921,37.5,O,3.4204710960961
X10921,40,O,2.64198849606864
X10922,20,O,2.28759057971015
X10922,25,O,3.02521003417505
X10922,30,O,3.76472222222222
X10922,35,O,4.34795321637427
X10922,37.5,O,4.39391447368421
X10922,40,O,3.02957683558443
X10923,20,O,2.06929347826087
X10923,25,O,2.6838768115942
X10923,30,O,3.02815315315315
X10923,35,O,2.62432065217391
X10923,37.5,O,1.76097360947904
X10923,40,O,0.898777173913044
X10925,20,O,2.42481884057971
X10925,25,O,3.3217620761218
X10925,30,O,4.1581067251462
X10925,35,O,4.43610957755695
X10925,37.5,O,4.4000365497076
X10925,40,O,2.94528600053719
X10926,20,O,2.23414855072464
X10926,25,O,3.16840277777778
X10926,30,O,4.01127923976608
X10926,35,O,4.90208333333333
X10926,37.5,O,4.12756578947368
X10926,40,O,3.01530470688079
X10927,20,O,2.11571557971015
X10927,25,O,2.94650880921857
X10927,30,O,3.88282894736842
X10927,35,O,4.83210636154289
X10927,37.5,O,4.39199561403509
X10927,40,O,2.86051944736858
X10928,20,O,2.0625
X10928,25,O,2.71082427536232
X10928,30,O,3.34076764264264
X10928,35,O,3.99517543859649
X10928,37.5,O,3.46804804804805
X10928,40,O,2.51086956521739
X10929,20,O,1.29619565217391
X10929,25,O,2.06250148161002
X10929,30,O,2.83944746376812
X10929,35,O,3.6843999478074
X10929,37.5,O,3.62861111111111
X10929,40,O,2.46931706154142
X10930,20,O,2.01403985507246
X10930,25,O,2.84545543190631
X10930,30,O,3.78083333333333
X10930,35,O,4.35474941724942
X10930,37.5,O,3.91270467836257
X10930,40,O,2.66399072093326
X10931,20,O,2.15658967391304
X10931,25,O,2.94938858695652
X10931,30,O,3.85625
X10931,35,O,3.98137061403509
X10931,37.5,O,3.28304054054054
X10931,40,O,2.74184782608696
X10932,20,O,2.2398097826087
X10932,25,O,3.14602355072464
X10932,30,O,3.67083333333333
X10932,35,O,3.97079678362573
X10932,37.5,O,3.06494899791095
X10932,40,O,1.92351147342995
X10934,20,O,2.1995018115942
X10934,25,O,3.07573198198198
X10934,30,O,3.97896198830409
X10934,35,O,4.68019289913038
X10934,37.5,O,4.25542397660819
X10934,40,O,2.82363011303229
X10935,20,O,2.26970108695652
X10935,25,O,3.36322276080428
X10935,30,O,4.13270467836257
X10935,35,O,4.98720760233918
X10935,37.5,O,4.0909283625731
X10935,40,O,2.68342391304348
X10936,20,O,2.32586050724638
X10936,25,O,2.8554840352767
X10936,30,O,3.58611111111111
X10936,35,O,3.69972779879094
X10936,37.5,O,3.32416666666667
X10936,40,O,1.94032762308979
X10937,20,O,2.230794653349
X10937,25,O,3.17416601383993
X10937,30,O,4.19861111111111
X10937,35,O,4.45486111111111
X10937,37.5,O,3.99055555555556
X10937,40,O,2.31044971602037
X10938,20,O,2.32042572463768
X10938,25,O,2.95176630434783
X10938,30,O,3.47305555555556
X10938,35,O,3.62916666666667
X10938,37.5,O,3.3899269005848
X10938,40,O,1.72984601449275
X10939,20,O,2.23342228097663
X10939,25,O,3.13661974474475
X10939,30,O,3.71944444444444
X10939,35,O,3.62853070175439
X10939,37.5,O,2.99457729468599
X10939,40,O,1.94655797101449
X10941,20,O,2.26955917874396
X10941,25,O,3.08049965726596
X10941,30,O,4.08361111111111
X10941,35,O,5.15
X10941,37.5,O,4.41456140350877
X10941,40,O,2.89213466183575
X10942,20,O,2.13111413043478
X10942,25,O,2.94299190494843
X10942,30,O,3.60638888888889
X10942,35,O,4.32273391812866
X10942,37.5,O,3.99131578947368
